Area,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Solidity,Extent,Perimeter,MaxRadius,MeanRadius,MedianRadius,IntegratedInt,medianSTDInt,meanInt,dx,dy,Magnitude,Angle,FractalDimMean,FractalDimSTD,FractalDimLacunarity,Class
8,6.762352504,2.221993537,0.944475126,39.34503376,0.727272727,0.4,10.776,1,1,1,244,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,-45,1,0.888888889,6.831,1.414213538,1.051776648,1,248,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,5.445697778,2.123921461,0.920807131,8.677012318,1,0.8,8.882,1,1,1,248,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.925854651,3.000721901,0.64480312,55.27802261,1,0.666666667,7.683,1.414213538,1.051776648,1,249,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,4.312826484,2.228038055,0.856222401,81.65037788,1,0.875,6.922,1,1,1,250,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,-45,1,0.888888889,6.831,1.414213538,1.051776648,1,252,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,5.445697778,2.123921461,0.920807131,-8.677012318,1,0.8,8.882,1,1,1,252,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
9,3.464101615,3.464101615,0,0,1,1,7.476,2,1.111111164,1,252,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,4.312826484,2.228038055,0.856222401,-81.65037788,1,0.875,6.922,1,1,1,253,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.056653665,2.865349491,0.707879437,82.98187827,0.888888889,0.666666667,7.683,1.414213538,1.051776648,1,253,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.763583333,2.727798137,0.688972486,30.47269795,0.875,0.777777778,6.831,1,1,1,254,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,45,1,0.888888889,6.831,1.414213538,1.051776648,1,256,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,45,1,0.888888889,6.831,1.414213538,1.051776648,1,256,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,257,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.879126068,2.429971585,0.779483763,-45,1,0.777777778,6.186,1.414213538,1.059173346,1,257,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,90,1,0.777777778,6.368,1.414213538,1.059173346,1,258,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.925854651,3.000721901,0.64480312,55.27802261,1,0.666666667,7.683,1.414213538,1.051776648,1,260,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.925854651,3.000721901,0.64480312,34.72197739,0.888888889,0.666666667,7.683,1.414213538,1.051776648,1,260,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,5.445697778,2.123921461,0.920807131,-8.677012318,1,0.8,8.882,1,1,1,260,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,5.10917439,2.136118845,0.908403437,10.90070474,1,0.8,8.328,1,1,1,260,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,-45,1,0.888888889,6.831,1.414213538,1.051776648,1,264,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.618802154,2.309401077,0.866025404,90,1,1,7.476,1,1,1,264,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
9,3.954100962,3.336243049,0.536748159,82.37244065,1,0.75,8.146,1.414213538,1.046023726,1,264,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
9,5.17888596,2.72960531,0.849825479,5.884144466,0.9,0.6,9.643,1.414213538,1.046023726,1,264,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
9,5.399179184,2.26284535,0.907935861,-4.731161104,1,0.9,8.882,1,1,1,264,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,-45,1,0.888888889,6.831,1.414213538,1.051776648,1,265,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.618802154,2.309401077,0.866025404,90,1,1,7.476,1,1,1,265,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,266,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.879126068,2.429971585,0.779483763,45,1,0.777777778,6.186,1.414213538,1.059173346,1,266,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,267,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.653433235,2.400463663,0.856680201,35.35497689,1,0.666666667,7.683,1.414213538,1.051776648,1,268,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,45,1,0.888888889,6.831,1.414213538,1.051776648,1,269,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,45,1,0.888888889,6.831,1.414213538,1.051776648,1,269,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,270,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.763583333,2.727798137,0.688972486,-59.52730205,0.875,0.777777778,6.831,1,1,1,271,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.618802154,2.309401077,0.866025404,90,1,1,7.476,1,1,1,272,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.136642609,2.881814462,0.717405908,72.70385566,1,0.666666667,7.865,1.414213538,1.051776648,1,273,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.27914326,2.665633063,0.782272678,19.32990413,0.888888889,0.666666667,7.774,1.414213538,1.051776648,1,273,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,45,1,0.888888889,6.831,1.414213538,1.051776648,1,273,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.653433235,2.400463663,0.856680201,35.35497689,1,0.666666667,7.683,1.414213538,1.051776648,1,273,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
9,3.464101615,3.464101615,0,0,1,1,7.476,2,1.111111164,1,273,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,274,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.27914326,2.665633063,0.782272678,-19.32990413,1,0.666666667,7.774,1.414213538,1.051776648,1,274,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.618802154,2.309401077,0.866025404,0,1,1,7.476,1,1,1,276,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,3.055050463,0.547722558,0,1,0.666666667,7.22,1.414213538,1.103553414,1,277,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
9,4.053691235,3.02453869,0.665811885,20.30064732,1,0.75,7.683,1.414213538,1.092047453,1,277,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.879126068,2.429971585,0.779483763,-45,1,0.777777778,6.186,1.414213538,1.059173346,1,278,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
10,5.565527124,2.532108707,0.890510361,66.57619487,1,0.666666667,9.461,1.414213538,1.041421294,1,280,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,5.10917439,2.136118845,0.908403437,10.90070474,1,0.8,8.328,1,1,1,281,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,-45,1,0.888888889,6.831,1.414213538,1.051776648,1,281,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
9,3.464101615,3.464101615,0,0,1,1,7.476,2,1.111111164,1,281,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.82702156,2.75905951,0.692995696,79.09929526,0.875,0.583333333,7.22,1.414213538,1.059173346,1,282,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,45,1,0.888888889,6.831,1.414213538,1.051776648,1,282,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.27914326,2.665633063,0.782272678,19.32990413,0.888888889,0.666666667,7.774,1.414213538,1.051776648,1,282,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,45,1,0.888888889,6.831,1.414213538,1.051776648,1,282,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
